Occupation,OCC_Code,OCC_Type,2014 Empl,2024 Empl,# Incr,% Incr,SelfEmpl,Grow/Replace,Median Wage,Entry Eduction,Experience,OJT,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,178.0,187.4,9.4,5.3,42.9,39.0,"$45,740",High school diploma or equivalent,Less than 5 years,None,
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,113.9,120.0,6.1,5.3,—,77.9,"$19,920",No formal educational credential,None,Short-term on-the-job training,
Automotive service technicians and mechanics,49-3023,Line item,739.9,779.0,39.1,5.3,13.4,237.2,"$38,470",Postsecondary nondegree award,None,Short-term on-the-job training,
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,124.7,131.3,6.6,5.3,3.0,36.0,"$49,370",High school diploma or equivalent,None,Long-term on-the-job training,
Personal care and service occupations,39-0000,Summary,"6,006.1","6,798.2",792.1,13.2,17.1,"2,065.8","$22,710",—,—,—,
Supervisors of personal care and service workers,39-1000,Summary,290.7,318.7,27.9,9.6,33.1,88.1,"$37,690",—,—,—,
First-line supervisors of gaming workers,39-1010,Summary,34.9,34.9,0.0,-0.1,38.8,11.7,"$46,810",—,—,—,
Biological technicians,19-4021,Line item,79.3,83.5,4.1,5.2,1.1,26.3,"$42,520",Bachelor's degree,None,None,
Museum technicians and conservators,25-4013,Line item,11.3,11.9,0.6,5.2,7.4,4.1,"$40,040",Bachelor's degree,None,None,
Library technicians,25-4031,Line item,101.8,107.1,5.3,5.2,—,53.9,"$32,890",Postsecondary nondegree award,None,None,
Animal care and service workers,39-2000,Summary,241.6,267.3,25.7,10.6,22.8,81.3,"$22,230",—,—,—,
Psychiatric technicians,29-2053,Line item,67.9,71.4,3.5,5.2,0.2,10.2,"$30,970",Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training,
First-line supervisors of fire fighting and prevention workers,33-1021,Line item,63.5,66.8,3.3,5.2,—,33.4,"$74,540",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,
Entertainment attendants and related workers,39-3000,Summary,543.9,576.4,32.5,6.0,2.4,271.4,"$20,110",—,—,—,
Gaming services workers,39-3010,Summary,93.1,94.2,1.0,1.1,5.0,26.0,"$19,670",—,—,—,
Private detectives and investigators,33-9021,Line item,34.9,36.7,1.8,5.2,22.6,11.0,"$48,190",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
"Interviewers, except eligibility and loan",43-4111,Line item,198.0,208.3,10.4,5.2,0.2,55.5,"$32,150",High school diploma or equivalent,None,Short-term on-the-job training,
Couriers and messengers,43-5021,Line item,92.9,97.7,4.8,5.2,19.6,16.5,"$28,170",High school diploma or equivalent,None,Short-term on-the-job training,
Drywall and ceiling tile installers,47-2081,Line item,106.0,111.5,5.5,5.2,18.6,12.0,"$41,090",No formal educational credential,None,Moderate-term on-the-job training,
Tapers,47-2082,Line item,21.0,22.1,1.1,5.2,18.6,2.4,"$48,990",No formal educational credential,None,Moderate-term on-the-job training,
Miscellaneous entertainment attendants and related workers,39-3090,Summary,330.2,356.8,26.6,8.1,2.4,164.9,"$20,610",—,—,—,
Sales managers,11-2022,Line item,376.3,395.3,19.0,5.1,3.1,108.0,"$117,960",Bachelor's degree,Less than 5 years,None,
Food service managers,11-9051,Line item,305.0,320.7,15.7,5.1,34.2,77.1,"$50,820",High school diploma or equivalent,Less than 5 years,None,
Security guards,33-9032,Line item,"1,095.4","1,150.9",55.5,5.1,0.7,209.6,"$25,770",High school diploma or equivalent,None,Short-term on-the-job training,
Tour guides and escorts,39-7011,Line item,43.5,45.7,2.2,5.1,13.9,19.3,"$24,920",High school diploma or equivalent,None,Moderate-term on-the-job training,
Funeral service workers,39-4000,Summary,71.0,72.4,1.4,2.0,10.4,17.7,"$32,080",—,—,—,
"Laborers and freight, stock, and material movers, hand",53-7062,Line item,"2,441.3","2,566.4",125.1,5.1,0.7,851.7,"$25,980",No formal educational credential,None,Short-term on-the-job training,
Police and sheriff's patrol officers,33-3051,Line item,680.0,714.2,34.2,5.0,—,258.4,"$59,680",High school diploma or equivalent,None,Moderate-term on-the-job training,
Gaming cage workers,43-3041,Line item,11.3,11.9,0.6,5.0,—,2.7,"$25,990",High school diploma or equivalent,None,Short-term on-the-job training,
Personal appearance workers,39-5000,Summary,852.3,938.2,85.9,10.1,42.0,265.9,"$23,880",—,—,—,
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,656.4,720.7,64.4,9.8,45.5,229.1,"$24,300",—,—,—,
Butchers and meat cutters,51-3021,Line item,139.0,146.0,7.0,5.0,0.6,34.4,"$29,870",No formal educational credential,None,Long-term on-the-job training,
"Financial specialists, all other",13-2099,Line item,145.2,152.3,7.1,4.9,1.0,21.9,"$69,470",Bachelor's degree,None,Moderate-term on-the-job training,
Miscellaneous personal appearance workers,39-5090,Summary,195.9,217.4,21.5,11.0,30.2,36.8,"$23,130",—,—,—,
Agricultural and food science technicians,19-4011,Line item,33.0,34.7,1.6,4.9,3.9,12.4,"$37,550",Associate's degree,None,Moderate-term on-the-job training,
Stock clerks and order fillers,43-5081,Line item,"1,878.1","1,971.1",92.9,4.9,0.3,689.0,"$23,840",No formal educational credential,None,Short-term on-the-job training,
Construction managers,11-9021,Line item,373.2,391.1,17.8,4.8,38.0,70.1,"$89,300",Bachelor's degree,None,Moderate-term on-the-job training,
"Business operations specialists, all other",13-1199,Line item,998.0,"1,046.0",48.0,4.8,0.5,166.9,"$69,040",Bachelor's degree,None,None,
"Baggage porters, bellhops, and concierges",39-6000,Summary,74.8,81.5,6.8,9.0,—,21.9,"$24,710",—,—,—,
Civil engineering technicians,17-3022,Line item,74.0,77.6,3.5,4.8,0.3,21.6,"$49,980",Associate's degree,None,None,
"Umpires, referees, and other sports officials",27-2023,Line item,19.8,20.7,1.0,4.8,7.5,7.6,"$25,660",High school diploma or equivalent,None,Moderate-term on-the-job training,
Tour and travel guides,39-7000,Summary,47.3,49.5,2.2,4.6,14.0,20.8,"$25,370",—,—,—,
Dancers,27-2031,Line item,13.0,13.6,0.6,4.8,15.5,4.8,—,No formal educational credential,None,Long-term on-the-job training,
"Building cleaning workers, all other",37-2019,Line item,16.9,17.7,0.8,4.8,4.9,4.2,"$29,700",No formal educational credential,None,Short-term on-the-job training,
Other personal care and service workers,39-9000,Summary,"3,884.4","4,494.1",609.7,15.7,12.7,"1,298.7","$22,520",—,—,—,
Highway maintenance workers,47-4051,Line item,151.3,158.6,7.3,4.8,1.9,47.6,"$38,130",High school diploma or equivalent,None,Moderate-term on-the-job training,
Outdoor power equipment and other small engine mechanics,49-3053,Line item,32.3,33.8,1.5,4.8,9.3,8.1,"$33,730",High school diploma or equivalent,None,Moderate-term on-the-job training,
Recreation and fitness workers,39-9030,Summary,658.4,720.8,62.3,9.5,8.4,183.7,"$27,570",—,—,—,
"Assemblers and fabricators, all other",51-2099,Line item,240.7,252.2,11.5,4.8,0.8,63.2,"$28,550",High school diploma or equivalent,None,Moderate-term on-the-job training,
Advertising and promotions managers,11-2011,Line item,31.0,32.4,1.5,4.7,2.9,11.4,"$100,810",Bachelor's degree,Less than 5 years,None,
"Religious workers, all other",21-2099,Line item,55.9,58.5,2.6,4.7,—,12.5,"$28,820",Bachelor's degree,None,None,
Bailiffs,33-3011,Line item,17.3,18.1,0.8,4.7,—,5.6,"$42,670",High school diploma or equivalent,None,Moderate-term on-the-job training,
Sales and related occupations,41-0000,Summary,"15,423.1","16,201.1",778.0,5.0,7.6,"5,357.8","$26,590",—,—,—,
Supervisors of sales workers,41-1000,Summary,"1,968.5","2,056.4",87.9,4.5,26.5,481.2,"$42,250",—,—,—,
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,18.6,19.4,0.9,4.7,2.7,8.6,"$21,720",High school diploma or equivalent,None,Short-term on-the-job training,
First-line supervisors of non-retail sales workers,41-1012,Line item,430.7,451.0,20.3,4.7,41.2,69.9,"$73,150",High school diploma or equivalent,Less than 5 years,None,
Retail sales workers,41-2000,Summary,"8,739.3","9,152.1",412.8,4.7,1.9,"3,641.4","$21,570",—,—,—,
Cashiers,41-2010,Summary,"3,437.5","3,503.0",65.5,1.9,1.0,"1,529.5","$20,200",—,—,—,
Camera and photographic equipment repairers,49-9061,Line item,3.7,3.8,0.2,4.7,13.2,0.8,"$41,060",Associate's degree,None,Long-term on-the-job training,
Driver/sales workers,53-3031,Line item,445.3,466.1,20.8,4.7,7.8,96.6,"$22,830",High school diploma or equivalent,None,Short-term on-the-job training,
Counter and rental clerks and parts salespersons,41-2020,Summary,676.9,710.0,33.1,4.9,0.3,194.6,"$27,030",—,—,—,
Subway and streetcar operators,53-4041,Line item,12.0,12.5,0.6,4.7,—,5.2,"$64,680",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Buyers and purchasing agents, farm products",13-1021,Line item,12.9,13.5,0.6,4.6,13.7,3.3,"$58,430",Bachelor's degree,None,Long-term on-the-job training,
Human resources specialists,13-1071,Line item,482.0,503.9,22.0,4.6,1.8,139.3,"$59,180",Bachelor's degree,None,None,
"Sales representatives, services",41-3000,Summary,"1,903.1","2,036.5",133.4,7.0,6.6,570.9,"$52,600",—,—,—,
"First-line supervisors of protective service workers, all other",33-1099,Line item,68.7,71.9,3.2,4.6,1.2,20.7,"$47,820",High school diploma or equivalent,Less than 5 years,None,
"Court, municipal, and license clerks",43-4031,Line item,140.8,147.1,6.3,4.5,3.4,14.8,"$36,670",High school diploma or equivalent,None,Moderate-term on-the-job training,
Structural iron and steel workers,47-2221,Line item,61.4,64.2,2.7,4.5,1.0,13.0,"$51,800",High school diploma or equivalent,None,Apprenticeship,
Agricultural engineers,17-2021,Line item,2.9,3.0,0.1,4.4,5.2,0.7,"$73,640",Bachelor's degree,None,None,
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,376.4,393.2,16.7,4.4,0.4,283.8,"$19,980",No formal educational credential,None,None,
"Sales representatives, wholesale and manufacturing",41-4000,Summary,"1,800.9","1,918.2",117.2,6.5,2.5,487.7,"$60,530",—,—,—,
First-line supervisors of retail sales workers,41-1011,Line item,"1,537.8","1,605.4",67.6,4.4,22.4,411.3,"$39,040",High school diploma or equivalent,Less than 5 years,None,
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,199.5,208.2,8.8,4.4,2.2,58.6,"$37,940",High school diploma or equivalent,None,Moderate-term on-the-job training,
Other sales and related workers,41-9000,Summary,"1,011.2","1,037.9",26.7,2.6,31.5,176.7,"$32,550",—,—,—,
"Models, demonstrators, and product promoters",41-9010,Summary,98.9,107.1,8.2,8.3,9.1,37.5,"$25,580",—,—,—,
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,14.8,15.4,0.7,4.4,1.0,3.2,"$59,280",Postsecondary nondegree award,None,Long-term on-the-job training,
"Material moving workers, all other",53-7199,Line item,23.6,24.7,1.0,4.4,1.9,8.5,"$28,370",No formal educational credential,None,Short-term on-the-job training,
Real estate brokers and sales agents,41-9020,Summary,421.3,432.1,10.9,2.6,52.6,40.3,"$46,410",—,—,—,
"Directors, religious activities and education",21-2021,Line item,131.9,137.5,5.7,4.3,0.6,41.2,"$38,610",Bachelor's degree,Less than 5 years,None,
"Installation, maintenance, and repair workers, all other",49-9099,Line item,163.5,170.6,7.1,4.3,13.5,32.0,"$38,480",High school diploma or equivalent,None,Moderate-term on-the-job training,
First-line supervisors of police and detectives,33-1012,Line item,108.1,112.7,4.5,4.2,—,43.0,"$84,840",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
Forest and conservation workers,45-4011,Line item,14.0,14.6,0.6,4.2,10.0,3.9,"$26,940",High school diploma or equivalent,None,Moderate-term on-the-job training,
Miscellaneous sales and related workers,41-9090,Summary,183.2,193.1,9.9,5.4,46.3,31.9,"$35,880",—,—,—,
Musical instrument repairers and tuners,49-9063,Line item,8.6,8.9,0.4,4.2,14.2,1.9,"$35,010",High school diploma or equivalent,None,Apprenticeship,
Parking lot attendants,53-6021,Line item,135.6,141.3,5.8,4.2,—,81.3,"$21,730",No formal educational credential,None,Short-term on-the-job training,
Office and administrative support occupations,43-0000,Summary,"22,766.1","23,232.6",466.5,2.0,1.1,"5,657.1","$34,050",—,—,—,
Supervisors of office and administrative support workers,43-1000,Summary,"1,466.1","1,587.3",121.2,8.3,0.4,342.7,"$54,340",—,—,—,
Glaziers,47-2121,Line item,45.3,47.2,1.9,4.1,3.9,8.4,"$41,920",High school diploma or equivalent,None,Apprenticeship,
Communications equipment operators,43-2000,Summary,128.8,86.4,-42.4,-32.9,2.7,17.3,"$28,640",—,—,—,
Tire repairers and changers,49-3093,Line item,105.5,109.9,4.3,4.1,3.8,40.3,"$25,040",High school diploma or equivalent,None,Short-term on-the-job training,
"Education administrators, all other",11-9039,Line item,37.8,39.3,1.5,4.0,6.3,12.5,"$78,210",Bachelor's degree,Less than 5 years,None,
"Compensation, benefits, and job analysis specialists",13-1141,Line item,84.7,88.1,3.4,4.0,—,24.0,"$62,080",Bachelor's degree,Less than 5 years,None,
Financial clerks,43-3000,Summary,"3,440.4","3,290.7",-149.7,-4.4,2.9,723.7,"$35,840",—,—,—,
"Engineers, all other",17-2199,Line item,136.9,142.3,5.5,4.0,6.2,33.0,"$97,300",Bachelor's degree,None,None,
Zoologists and wildlife biologists,19-1023,Line item,21.3,22.2,0.8,4.0,1.0,6.6,"$60,520",Bachelor's degree,None,None,
Occupational health and safety specialists,29-9011,Line item,70.3,73.1,2.8,4.0,4.0,16.9,"$70,920",Bachelor's degree,None,None,
"Tank car, truck, and ship loaders",53-7121,Line item,13.0,13.5,0.5,4.0,2.1,4.6,"$35,770",No formal educational credential,None,Short-term on-the-job training,
"Managers, all other",11-9199,Line item,985.6,"1,023.6",38.0,3.9,60.4,255.4,"$104,970",Bachelor's degree,Less than 5 years,None,
"Explosives workers, ordnance handling experts, and blasters",47-5031,Line item,8.1,8.4,0.3,3.9,—,1.9,"$52,170",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,
Airfield operations specialists,53-2022,Line item,7.2,7.5,0.3,3.9,—,2.5,"$48,910",High school diploma or equivalent,None,Long-term on-the-job training,
Anthropologists and archeologists,19-3091,Line item,7.7,8.0,0.3,3.8,3.7,1.2,"$63,190",Master's degree,None,None,
Information and record clerks,43-4000,Summary,"5,634.3","6,033.1",398.8,7.1,0.7,"1,798.6","$31,690",—,—,—,
"Social workers, all other",21-1029,Line item,66.4,68.9,2.5,3.8,1.0,18.5,"$60,230",Bachelor's degree,None,None,
Interior designers,27-1025,Line item,58.9,61.1,2.2,3.8,22.8,16.2,"$49,810",Bachelor's degree,None,None,
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,36.4,37.8,1.4,3.8,20.5,7.9,"$33,740",High school diploma or equivalent,None,Moderate-term on-the-job training,
Correctional officers and jailers,33-3012,Line item,457.6,474.7,17.1,3.7,—,143.0,"$42,820",High school diploma or equivalent,None,Moderate-term on-the-job training,
Counter and rental clerks,41-2021,Line item,442.1,458.5,16.3,3.7,0.1,125.8,"$25,550",No formal educational credential,None,Short-term on-the-job training,
Aerospace engineering and operations technicians,17-3021,Line item,11.4,11.8,0.4,3.6,0.6,3.2,"$68,020",Associate's degree,None,None,
Probation officers and correctional treatment specialists,21-1092,Line item,91.7,95.0,3.3,3.6,—,21.3,"$50,160",Bachelor's degree,None,Short-term on-the-job training,
"Electric motor, power tool, and related repairers",49-2092,Line item,19.3,20.0,0.7,3.6,9.6,6.0,"$41,570",Postsecondary nondegree award,None,Long-term on-the-job training,
"Welders, cutters, solderers, and brazers",51-4121,Line item,397.9,412.3,14.4,3.6,5.8,128.5,"$39,390",High school diploma or equivalent,None,Moderate-term on-the-job training,
Food scientists and technologists,19-1012,Line item,15.4,16.0,0.5,3.5,4.9,5.9,"$63,950",Bachelor's degree,None,None,
Microbiologists,19-1022,Line item,22.4,23.2,0.8,3.5,2.5,6.8,"$66,850",Bachelor's degree,None,None,
Musicians and singers,27-2042,Line item,173.3,179.3,6.0,3.5,38.7,56.3,—,No formal educational credential,None,Long-term on-the-job training,
Transit and railroad police,33-3052,Line item,3.6,3.7,0.1,3.5,—,1.3,"$66,610",High school diploma or equivalent,None,Moderate-term on-the-job training,
Gaming and sports book writers and runners,39-3012,Line item,11.5,11.9,0.4,3.4,4.6,3.5,"$22,600",High school diploma or equivalent,None,Short-term on-the-job training,
Gas compressor and gas pumping station operators,53-7071,Line item,5.1,5.3,0.2,3.4,5.7,2.8,"$60,470",High school diploma or equivalent,None,Moderate-term on-the-job training,
Funeral service managers,11-9061,Line item,29.3,30.3,1.0,3.3,70.8,7.4,"$73,830",Associate's degree,Less than 5 years,None,
Natural sciences managers,11-9121,Line item,55.1,56.9,1.8,3.3,—,13.3,"$119,850",Bachelor's degree,5 years or more,None,
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,"3,919.4","3,877.5",-41.9,-1.1,0.9,"1,162.6","$30,430",—,—,—,
"Claims adjusters, examiners, and investigators",13-1031,Line item,299.7,309.5,9.8,3.3,1.8,84.0,"$63,680",High school diploma or equivalent,None,Long-term on-the-job training,
Compliance officers,13-1041,Line item,260.3,269.0,8.7,3.3,0.1,45.3,"$66,540",Bachelor's degree,None,Moderate-term on-the-job training,
Dispatchers,43-5030,Summary,301.5,307.3,5.8,1.9,1.4,84.1,"$38,260",—,—,—,
"Computer occupations, all other",15-1199,Line item,233.0,240.8,7.7,3.3,3.5,37.7,"$86,510",Bachelor's degree,None,None,
Recreational vehicle service technicians,49-3092,Line item,11.4,11.8,0.4,3.3,3.9,4.3,"$36,430",High school diploma or equivalent,None,Long-term on-the-job training,
"Production workers, all other",51-9199,Line item,236.2,244.0,7.7,3.3,6.0,56.1,"$28,770",High school diploma or equivalent,None,Moderate-term on-the-job training,
Postal service workers,43-5050,Summary,484.6,348.6,-136.0,-28.1,—,79.4,"$56,790",—,—,—,
"Transportation workers, all other",53-6099,Line item,40.2,41.6,1.3,3.3,—,21.7,"$35,660",High school diploma or equivalent,None,Short-term on-the-job training,
Music directors and composers,27-2041,Line item,82.1,84.7,2.6,3.2,26.5,26.4,"$50,110",Bachelor's degree,Less than 5 years,None,
Computer hardware engineers,17-2061,Line item,77.7,80.1,2.4,3.1,0.4,18.4,"$115,080",Bachelor's degree,None,None,
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,26.3,27.1,0.8,3.1,54.5,5.7,"$50,790",Bachelor's degree,None,Long-term on-the-job training,
Photographers,27-4021,Line item,124.9,128.8,3.9,3.1,60.5,34.5,"$34,070",High school diploma or equivalent,None,Long-term on-the-job training,
Pharmacists,29-1051,Line item,297.1,306.2,9.1,3.1,1.4,78.4,"$122,230",Doctoral or professional degree,None,None,
First-line supervisors of correctional officers,33-1011,Line item,47.6,49.1,1.5,3.1,—,15.3,"$60,560",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
Secretaries and administrative assistants,43-6000,Summary,"3,976.8","4,095.6",118.8,3.0,0.8,591.5,"$37,230",—,—,—,
"Office clerks, general",43-9061,Line item,"3,062.5","3,158.2",95.8,3.1,0.5,756.2,"$30,580",High school diploma or equivalent,None,Short-term on-the-job training,
Light truck or delivery services drivers,53-3033,Line item,884.7,911.9,27.3,3.1,7.6,177.8,"$30,580",High school diploma or equivalent,None,Short-term on-the-job training,
Fashion designers,27-1022,Line item,23.1,23.8,0.7,2.9,23.2,6.2,"$65,170",Bachelor's degree,None,None,
Public address system and other announcers,27-3012,Line item,10.2,10.5,0.3,2.9,28.1,3.2,"$28,940",High school diploma or equivalent,None,Short-term on-the-job training,
Other office and administrative support workers,43-9000,Summary,"4,200.3","4,262.0",61.6,1.5,1.1,"1,020.6","$31,590",—,—,—,
First-line supervisors of transportation and material-moving machine and vehicle operators,53-1031,Line item,199.7,205.6,5.9,2.9,0.2,69.9,"$57,270",High school diploma or equivalent,Less than 5 years,None,
Data entry and information processing workers,43-9020,Summary,307.5,285.4,-22.1,-7.2,2.7,30.7,"$31,980",—,—,—,
Astronomers,19-2011,Line item,1.9,1.9,0.1,2.8,—,0.4,"$104,740",Doctoral or professional degree,None,None,
Merchandise displayers and window trimmers,27-1026,Line item,120.8,124.1,3.3,2.8,23.3,32.1,"$26,700",High school diploma or equivalent,None,Moderate-term on-the-job training,
Waiters and waitresses,35-3031,Line item,"2,465.1","2,534.0",68.9,2.8,0.2,"1,255.0","$19,990",No formal educational credential,None,Short-term on-the-job training,
Real estate sales agents,41-9022,Line item,337.4,346.8,9.4,2.8,52.5,33.0,"$44,090",High school diploma or equivalent,None,Moderate-term on-the-job training,
Materials scientists,19-2032,Line item,7.3,7.5,0.2,2.7,2.3,1.8,"$99,430",Bachelor's degree,None,None,
Rail car repairers,49-3043,Line item,21.5,22.0,0.6,2.7,3.2,5.7,"$55,000",High school diploma or equivalent,None,Long-term on-the-job training,
Motorboat mechanics and service technicians,49-3051,Line item,22.5,23.1,0.6,2.7,9.5,5.1,"$38,780",High school diploma or equivalent,None,Long-term on-the-job training,
Chemists,19-2031,Line item,91.1,93.5,2.4,2.6,2.0,22.4,"$73,740",Bachelor's degree,None,None,
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,"2,457.0","2,521.1",64.0,2.6,0.8,323.1,"$34,820",High school diploma or equivalent,None,Short-term on-the-job training,
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,19.7,20.2,0.5,2.5,38.1,6.8,"$62,080",Bachelor's degree,Less than 5 years,None,
"Farming, fishing, and forestry occupations",45-0000,Summary,972.1,914.9,-57.2,-5.9,4.6,253.1,"$23,510",—,—,—,
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,47.1,43.3,-3.9,-8.2,20.1,11.5,"$45,320",—,—,—,
Budget analysts,13-2031,Line item,60.8,62.3,1.5,2.5,—,16.7,"$73,840",Bachelor's degree,None,None,
Agricultural workers,45-2000,Summary,828.9,777.1,-51.7,-6.2,0.7,218.0,"$22,740",—,—,—,
Art directors,27-1011,Line item,74.6,76.4,1.8,2.4,55.0,15.8,"$89,820",Bachelor's degree,5 years or more,None,
"Information and record clerks, all other",43-4199,Line item,188.5,193.0,4.6,2.4,1.2,53.0,"$39,260",High school diploma or equivalent,None,Short-term on-the-job training,
Paperhangers,47-2142,Line item,6.4,6.6,0.2,2.4,43.3,1.2,"$33,770",No formal educational credential,None,Long-term on-the-job training,
Miscellaneous agricultural workers,45-2090,Summary,754.7,707.3,-47.4,-6.3,0.7,204.1,"$22,520",—,—,—,
"Computer, automated teller, and office machine repairers",49-2011,Line item,131.6,134.8,3.2,2.4,15.5,28.6,"$37,100","Some college, no degree",None,Short-term on-the-job training,
Electronic home entertainment equipment installers and repairers,49-2097,Line item,29.6,30.3,0.7,2.4,9.9,4.9,"$37,410",Postsecondary nondegree award,None,Short-term on-the-job training,
Industrial truck and tractor operators,53-7051,Line item,530.9,543.5,12.6,2.4,0.6,144.7,"$32,460",No formal educational credential,None,Short-term on-the-job training,
Writers and authors,27-3043,Line item,136.5,139.7,3.1,2.3,65.7,26.1,"$61,240",Bachelor's degree,None,Moderate-term on-the-job training,
"Transportation, storage, and distribution managers",11-3071,Line item,111.6,114.1,2.5,2.2,0.8,27.1,"$89,190",High school diploma or equivalent,5 years or more,None,
"Forest, conservation, and logging workers",45-4000,Summary,67.7,66.3,-1.4,-2.0,20.3,16.6,"$36,510",—,—,—,
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,42.4,43.4,0.9,2.2,0.2,17.0,"$67,400",High school diploma or equivalent,None,Long-term on-the-job training,
Logging workers,45-4020,Summary,53.7,51.7,-2.0,-3.6,23.0,12.7,"$37,590",—,—,—,
"First-line supervisors of helpers, laborers, and material movers, hand",53-1021,Line item,173.1,176.9,3.8,2.2,0.2,59.3,"$47,230",High school diploma or equivalent,Less than 5 years,None,
Flight attendants,53-2031,Line item,97.9,100.1,2.2,2.2,—,20.1,"$48,500",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
"Production, planning, and expediting clerks",43-5061,Line item,304.6,310.9,6.3,2.1,0.9,88.9,"$46,760",High school diploma or equivalent,None,Moderate-term on-the-job training,
Architectural and engineering managers,11-9041,Line item,182.1,185.8,3.7,2.0,0.1,59.5,"$134,730",Bachelor's degree,5 years or more,None,
Construction and extraction occupations,47-0000,Summary,"6,501.7","7,160.7",659.0,10.1,17.4,"1,682.2","$43,610",—,—,—,
Supervisors of construction and extraction workers,47-1000,Summary,578.4,636.1,57.7,10.0,12.7,103.6,"$62,980",—,—,—,
Mechanical engineering technicians,17-3027,Line item,48.4,49.3,0.9,2.0,0.6,12.8,"$54,480",Associate's degree,None,None,
Construction trades workers,47-2000,Summary,"4,995.7","5,509.7",514.0,10.3,20.6,"1,290.4","$42,310",—,—,—,
Commercial and industrial designers,27-1021,Line item,38.4,39.2,0.8,2.0,22.9,9.9,"$67,790",Bachelor's degree,None,None,
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,93.1,109.7,16.6,17.9,24.7,24.4,"$47,590",—,—,—,
"Camera operators, television, video, and motion picture",27-4031,Line item,25.4,25.9,0.5,2.0,27.6,2.8,"$55,080",Bachelor's degree,None,None,
Cashiers,41-2011,Line item,"3,424.2","3,491.1",67.0,2.0,1.0,"1,523.8","$20,180",No formal educational credential,None,Short-term on-the-job training,
Structural metal fabricators and fitters,51-2041,Line item,79.2,80.8,1.6,2.0,0.3,14.6,"$37,730",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Carpet, floor, and tile installers and finishers",47-2040,Summary,125.4,131.3,5.9,4.7,42.0,23.7,"$39,150",—,—,—,
Logisticians,13-1081,Line item,130.4,132.9,2.5,1.9,0.6,20.6,"$74,170",Bachelor's degree,None,None,
Chemical technicians,19-4031,Line item,66.5,67.7,1.2,1.9,1.7,21.1,"$45,840",Associate's degree,None,Moderate-term on-the-job training,
Librarians,25-4021,Line item,143.1,145.7,2.7,1.9,—,29.5,"$57,680",Master's degree,None,None,
Fish and game wardens,33-3031,Line item,6.2,6.3,0.1,1.9,—,2.0,"$51,730",Bachelor's degree,None,Moderate-term on-the-job training,
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,158.5,179.1,20.6,13.0,2.2,39.9,"$39,210",—,—,—,
Chemical engineers,17-2041,Line item,34.3,34.9,0.6,1.8,0.8,10.0,"$98,340",Bachelor's degree,None,None,
Real estate brokers,41-9021,Line item,83.9,85.4,1.5,1.8,53.1,7.3,"$56,790",High school diploma or equivalent,Less than 5 years,None,
Laundry and dry-cleaning workers,51-6011,Line item,208.2,212.0,3.7,1.8,4.2,33.6,"$21,510",No formal educational credential,None,Short-term on-the-job training,
Construction equipment operators,47-2070,Summary,424.8,467.9,43.2,10.2,3.8,118.2,"$45,040",—,—,—,
Historians,19-3093,Line item,3.5,3.5,0.1,1.7,2.0,0.5,"$55,110",Master's degree,None,None,
Hoist and winch operators,53-7041,Line item,2.9,2.9,0.0,1.7,—,0.9,"$42,530",No formal educational credential,None,Short-term on-the-job training,
"Packers and packagers, hand",53-7064,Line item,695.4,706.9,11.5,1.7,0.4,196.4,"$22,130",No formal educational credential,None,Short-term on-the-job training,
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,127.0,133.6,6.6,5.2,18.6,14.4,"$42,280",—,—,—,
Tax preparers,13-2082,Line item,90.4,91.8,1.4,1.6,18.8,24.1,"$36,550",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Gaming service workers, all other",39-3019,Line item,13.2,13.4,0.2,1.6,5.0,3.7,"$24,880",High school diploma or equivalent,None,Short-term on-the-job training,
"Eligibility interviewers, government programs",43-4061,Line item,129.9,132.0,2.1,1.6,—,16.3,"$43,350",High school diploma or equivalent,None,Moderate-term on-the-job training,
